Year,Month,Day,Intensity,Start,Peak Time,End,Event #,Max Drop,Lat,Lon,dist.R,AR#,Count,Flare
Year,Month,Day,intensity,start, peak,end,event #,max_drop,lat,lon,dist.R,AR#,count,flare
2016,4,11,-52,20:28,20:28,20:52,8914,123,7,-14,0.33,AR 2529,21,B7
2016,4,11,-145,6:24,6:28,7:04,8913,43,22,-45,0.8,AR 2529,29,
2016,4, 9,-63,13:06,13:08,13:34,8912,49,,,1.15,,23,B3
2016,3,29,-45,15:00,15:00,15:26,8911,69,,,1.12,,22,
2016,3,28,-30,2:30,2:32,2:56,8910,38,,,,AR 2526,22,C2
2016,3,27,-15,12:26,12:28,12:54,8909,13,,,,,23,
2016,3,23,-125,3:38,3:44,4:18,8908,78,33,-7,0.66,AR 2524,29,
2016,3,23,-336,2:16,2:40,3:28,8907,85,21,6,0.48,AR 2524,45,
2016,3,22,-22,0:00,0:06,0:40,8906,51,2,-6,0.2,AR 2524,29,
2016,3,18,-24,0:32,0:38,1:08,8905,14,-11,34,0.56,AR 2523,27,B3
2016,3,16,-168,6:46,6:48,7:42,8904,45,,,1.14,,37,C2
2016,3,15,-70,9:38,9:44,10:16,8903,47,26,13,0.58,AR 2521,28,C1
2016,3,13,-81,19:58,20:04,20:32,8902,109,,,1.02,,26,
2016,3,12,-89,4:02,4:04,4:40,8901,54,14,-65,0.93,AR 2519,28,
2016,3, 9,-316,12:48,12:58,13:38,8899,221,,,1.1,,34,C3
2016,3, 8,-32,11:04,11:08,11:34,8898,39,,,1.12,,24,
2016,3, 6,-78,5:08,5:08,5:44,8897,113,16,29,0.61,AR 2514,27,B5
2016,3, 5,-76,3:26,3:30,3:56,8896,92,2,22,0.41,AR 2515,24,B4
2016,3, 3,-92,15:00,15:22,15:50,8895,53,-12,-2,0.09,AR 2512,34,
2016,2,27,-108,5:56,5:56,6:28,8894,210,-5,-23,0.4,AR 2506,25,C2
2016,2,27,-108,4:00,4:12,4:42,8893,235,-15,-80,0.99,,30,
2016,2,26,-37,23:28,23:28,23:56,8892,34,,,,AR 2506,23,
